constructor,Season,race_wins,Constructor_Champion
Red Bull,2022,9,405
Mercedes,2021,9,604.5
Mercedes,2020,13,573
Mercedes,2019,15,739
Mercedes,2018,11,655
Mercedes,2017,12,668
Mercedes,2016,19,765
Mercedes,2015,16,703
Mercedes,2014,16,701
Red Bull,2013,13,596
Red Bull,2012,7,460
Red Bull,2011,12,650
Red Bull,2010,9,498
Brawn,2009,8,172
Ferrari,2008,8,172
McLaren,2007,8,218
Renault,2006,8,206
Renault,2005,8,191
Ferrari,2004,15,262
Ferrari,2003,8,158
Ferrari,2002,15,221
Ferrari,2001,9,179
Ferrari,2000,10,170
Ferrari,1999,6,128
McLaren,1998,9,156
Williams,1997,8,123
Williams,1996,12,175
Benetton,1995,11,147
Williams,1994,7,118
Williams,1993,10,168
Williams,1992,10,164
McLaren,1991,8,139
McLaren,1990,6,121
McLaren,1989,10,141
McLaren,1988,15,199
Williams,1987,9,137
Williams,1986,9,141
McLaren,1985,6,90
McLaren,1984,12,143.5
Ferrari,1983,4,89
Ferrari,1982,3,74
Williams,1981,4,95
Williams,1980,6,120
Ferrari,1979,6,113
Team Lotus,1978,8,116
Ferrari,1977,4,114
Ferrari,1976,6,99
Ferrari,1975,6,89.5
Ferrari,1974,3,90
Tyrrell,1973,5,118
McLaren,1972,1,66
Tyrrell,1971,7,88
Ferrari,1970,4,76
Matra-Ford,1969,6,85
Lotus-Ford,1968,5,75
Brabham-Repco,1967,4,100
Brabham-Repco,1966,4,63
BRM,1965,3,81
BRM,1964,2,70
Lotus-Climax,1963,7,74
BRM,1962,4,62
Ferrari,1961,5,99
Cooper-Climax,1960,6,102
Cooper-Climax,1959,5,97.5
Ferrari,1958,2,93
Maserati,1957,4,78
Ferrari,1956,6,83.0
Mercedes,1955,5,79
Ferrari,1954,2,80.28
Ferrari,1953,7,122.5
Ferrari,1952,7,120.5
Ferrari,1951,3,86
Alfa Romeo,1950,6,89
