driver,year,World_Champion
Max Verstappen,2022,242
Max Verstappen,2021,388.5
Lewis Hamilton,2020,347
Lewis Hamilton,2019,413
Lewis Hamilton,2018,408
Lewis Hamilton,2017,363
Nico Rosberg,2016,385
Lewis Hamilton,2015,381
Lewis Hamilton,2014,384
Sebastian Vettel,2013,397
Sebastian Vettel,2012,281
Sebastian Vettel,2011,392
Sebastian Vettel,2010,256
Jenson Button,2009,95
Lewis Hamilton,2008,98
Kimi Räikkönen,2007,110
Fernando Alonso,2006,134
Fernando Alonso,2005,133
Michael Schumacher,2004,148
Michael Schumacher,2003,93
Michael Schumacher,2002,144
Michael Schumacher,2001,123
Michael Schumacher,2000,108
Mika Häkkinen,1999,76
Mika Häkkinen,1998,100
Jacques Villeneuve,1997,81
Damon Hill,1996,97
Michael Schumacher,1995,102
Michael Schumacher,1994,92
Alain Prost,1993,99
Nigel Mansell,1992,108
Ayrton Senna,1991,96
Ayrton Senna,1990,78
Alain Prost,1989,81
Alain Prost,1988,105
Nelson Piquet,1987,76
Alain Prost,1986,74
Alain Prost,1985,76
Niki Lauda,1984,72
Nelson Piquet,1983,59
Keke Rosberg,1982,44
Nelson Piquet,1981,50
Alan Jones,1980,71
Jody Scheckter,1979,60
Mario Andretti,1978,64
Niki Lauda,1977,72
James Hunt,1976,69
Niki Lauda,1975,64.5
Emerson Fittipaldi,1974,55
Jackie Stewart,1973,71
Emerson Fittipaldi,1972,61
Jackie Stewart,1971,62
Jochen Rindt,1970,45
Jackie Stewart,1969,63
Graham Hill,1968,48
Denny Hulme,1967,51
Jack Brabham,1966,45
Jim Clark,1965,54
Graham Hill,1964,41
Jim Clark,1963,73
Graham Hill,1962,52
Phil Hill,1961,38
Jack Brabham,1960,43
Jack Brabham,1959,34
Mike Hawthorn,1958,49
Juan Fangio,1957,46
Juan Fangio,1956,34.5
Juan Fangio,1955,41
Juan Fangio,1954,57.14
Alberto Ascari,1953,46.5
Alberto Ascari,1952,53.5
Juan Fangio,1951,37
Nino Farina,1950,30
