driver,constructor,track,country,city,year
Nino Farina,Alfa Romeo,Silverstone Circuit,UK,Silverstone,1950
Juan Fangio,Alfa Romeo,Circuit de Monaco,Monaco,Monte-Carlo,1950
Johnnie Parsons,Kurtis Kraft,Indianapolis Motor Speedway,USA,Indianapolis,1950
Nino Farina,Alfa Romeo,Circuit Bremgarten,Switzerland,Bern,1950
Juan Fangio,Alfa Romeo,Circuit de Spa-Francorchamps,Belgium,Spa,1950
Juan Fangio,Alfa Romeo,Reims-Gueux,France,Reims,1950
Nino Farina,Alfa Romeo,Autodromo Nazionale di Monza,Italy,Monza,1950
Juan Fangio,Alfa Romeo,Circuit Bremgarten,Switzerland,Bern,1951
Lee Wallard,Kurtis Kraft,Indianapolis Motor Speedway,USA,Indianapolis,1951
Nino Farina,Alfa Romeo,Circuit de Spa-Francorchamps,Belgium,Spa,1951
Luigi Fagioli,Alfa Romeo,Reims-Gueux,France,Reims,1951
José Froilán González,Ferrari,Silverstone Circuit,UK,Silverstone,1951
Alberto Ascari,Ferrari,Nürburgring,Germany,Nürburg,1951
Alberto Ascari,Ferrari,Autodromo Nazionale di Monza,Italy,Monza,1951
Juan Fangio,Alfa Romeo,Circuit de Pedralbes,Spain,Barcelona,1951
Juan Fangio,Alfa Romeo,Reims-Gueux,France,Reims,1951
Piero Taruffi,Ferrari,Circuit Bremgarten,Switzerland,Bern,1952
Troy Ruttman,Kuzma,Indianapolis Motor Speedway,USA,Indianapolis,1952
Alberto Ascari,Ferrari,Circuit de Spa-Francorchamps,Belgium,Spa,1952
Alberto Ascari,Ferrari,Rouen-Les-Essarts,France,Rouen,1952
Alberto Ascari,Ferrari,Silverstone Circuit,UK,Silverstone,1952
Alberto Ascari,Ferrari,Nürburgring,Germany,Nürburg,1952
Alberto Ascari,Ferrari,Circuit Park Zandvoort,Netherlands,Zandvoort,1952
Alberto Ascari,Ferrari,Autodromo Nazionale di Monza,Italy,Monza,1952
Alberto Ascari,Ferrari,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,1953
Bill Vukovich,Kurtis Kraft,Indianapolis Motor Speedway,USA,Indianapolis,1953
Alberto Ascari,Ferrari,Circuit Park Zandvoort,Netherlands,Zandvoort,1953
Alberto Ascari,Ferrari,Circuit de Spa-Francorchamps,Belgium,Spa,1953
Mike Hawthorn,Ferrari,Reims-Gueux,France,Reims,1953
Alberto Ascari,Ferrari,Silverstone Circuit,UK,Silverstone,1953
Nino Farina,Ferrari,Nürburgring,Germany,Nürburg,1953
Alberto Ascari,Ferrari,Circuit Bremgarten,Switzerland,Bern,1953
Juan Fangio,Maserati,Autodromo Nazionale di Monza,Italy,Monza,1953
Juan Fangio,Maserati,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,1954
Bill Vukovich,Kurtis Kraft,Indianapolis Motor Speedway,USA,Indianapolis,1954
Juan Fangio,Maserati,Circuit de Spa-Francorchamps,Belgium,Spa,1954
Juan Fangio,Mercedes,Reims-Gueux,France,Reims,1954
José Froilán González,Ferrari,Silverstone Circuit,UK,Silverstone,1954
Juan Fangio,Mercedes,Nürburgring,Germany,Nürburg,1954
Juan Fangio,Mercedes,Circuit Bremgarten,Switzerland,Bern,1954
Juan Fangio,Mercedes,Autodromo Nazionale di Monza,Italy,Monza,1954
Mike Hawthorn,Ferrari,Circuit de Pedralbes,Spain,Barcelona,1954
Juan Fangio,Mercedes,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,1955
